  11.160        0.2547411156E+02 + 0.4461023712E+02 i        0.3290282822E+02 + 0.5552356720E+02 i
  11.340        0.1252007961E+02 + 0.4068412018E+02 i        0.2134979820E+02 + 0.5339957047E+02 i
  11.520       -0.6133416891E+00 + 0.3715182114E+02 i        0.9426275253E+01 + 0.5140050507E+02 i
  11.700       -0.1367579746E+02 + 0.3406253052E+02 i       -0.2639920950E+01 + 0.4954724121E+02 i
  11.880       -0.2642769241E+02 + 0.3145309830E+02 i       -0.1462758446E+02 + 0.4785442734E+02 i
  12.060       -0.3864482498E+02 + 0.2934743690E+02 i       -0.2632623291E+02 + 0.4633031845E+02 i
  12.240       -0.5012223053E+02 + 0.2775619888E+02 i       -0.3753986359E+02 + 0.4497669601E+02 i
  12.420       -0.6067766953E+02 + 0.2667664719E+02 i       -0.4809024048E+02 + 0.4378890991E+02 i
  12.600       -0.7015453339E+02 + 0.2609292412E+02 i       -0.5781967163E+02 + 0.4275625610E+02 i
  12.780       -0.7842391968E+02 + 0.2597662926E+02 i       -0.6659332275E+02 + 0.4186214828E+02 i
  12.960       -0.8538637543E+02 + 0.2628751755E+02 i       -0.7430084991E+02 + 0.4108481216E+02 i
  13.140       -0.9097282410E+02 + 0.2697454834E+02 i       -0.8085776520E+02 + 0.4039779663E+02 i
  13.320       -0.9514477539E+02 + 0.2797717285E+02 i       -0.8620579529E+02 + 0.3977075958E+02 i
  13.500       -0.9789397430E+02 + 0.2922669411E+02 i       -0.9031299591E+02 + 0.3917028809E+02 i
  13.680       -0.9924150848E+02 + 0.3064801216E+02 i       -0.9317343140E+02 + 0.3856069183E+02 i
  13.860       -0.9923612213E+02 + 0.3216126251E+02 i       -0.9480587006E+02 + 0.3790499115E+02 i
  14.040       -0.9795222473E+02 + 0.3368368912E+02 i       -0.9525251770E+02 + 0.3716586304E+02 i
  14.220       -0.9548741150E+02 + 0.3513151169E+02 i       -0.9457695770E+02 + 0.3630650330E+02 i
  14.400       -0.9195940399E+02 + 0.3642187500E+02 i       -0.9286202240E+02 + 0.3529166794E+02 i
  14.580       -0.8750272369E+02 + 0.3747462463E+02 i       -0.9020706940E+02 + 0.3408846283E+02 i
  14.760       -0.8226546478E+02 + 0.3821417618E+02 i       -0.8672514343E+02 + 0.3266717148E+02 i
  14.940       -0.7640514374E+02 + 0.3857119370E+02 i       -0.8254009247E+02 + 0.3100205612E+02 i
  15.120       -0.7008532715E+02 + 0.3848413086E+02 i       -0.7778322601E+02 + 0.2907202339E+02 i
  15.300       -0.6347154999E+02 + 0.3790061951E+02 i       -0.7259027863E+02 + 0.2686107445E+02 i
  15.480       -0.5672770309E+02 + 0.3677865982E+02 i       -0.6709822845E+02 + 0.2435890007E+02 i
  15.660       -0.5001253891E+02 + 0.3508754349E+02 i       -0.6144218063E+02 + 0.2156106567E+02 i
  15.840       -0.4347609329E+02 + 0.3280861664E+02 i       -0.5575251770E+02 + 0.1846930504E+02 i
  16.020       -0.3725683975E+02 + 0.2993574333E+02 i       -0.5015212631E+02 + 0.1509150219E+02 i
  16.200       -0.3147880936E+02 + 0.2647543526E+02 i       -0.4475405502E+02 + 0.1144166756E+02 i
  16.380       -0.2624932098E+02 + 0.2244687462E+02 i       -0.3965922928E+02 + 0.7539735794E+01 i
  16.560       -0.2165703392E+02 + 0.1788153267E+02 i       -0.3495475388E+02 + 0.3411263704E+01 i
  16.740       -0.1777053070E+02 + 0.1282260990E+02 i       -0.3071245956E+02 +-0.9130304456E+00 i
  16.920       -0.1463731956E+02 + 0.7324215889E+01 i       -0.2698783684E+02 +-0.5397760391E+01 i
  17.100       -0.1228344059E+02 + 0.1450319767E+01 i       -0.2381939697E+02 +-0.1000350571E+02 i
  17.280       -0.1071337318E+02 +-0.4726469517E+01 i       -0.2122835159E+02 +-0.1468749046E+02 i
  17.460       -0.9910542488E+01 +-0.1112633133E+02 i       -0.1921888733E+02 +-0.1940436172E+02 i
  17.640       -0.9838368416E+01 +-0.1766374779E+02 i       -0.1777861595E+02 +-0.2410691643E+02 i
  17.820       -0.1044152546E+02 +-0.2424916649E+02 i       -0.1687939453E+02 +-0.2874702454E+02 i
  18.000       -0.1164774513E+02 +-0.3079078674E+02 i       -0.1647866631E+02 +-0.3327635193E+02 i
  18.180       -0.1336993980E+02 +-0.3719620132E+02 i       -0.1652086639E+02 +-0.3764726639E+02 i
  18.360       -0.1550855446E+02 +-0.4337421799E+02 i       -0.1693927765E+02 +-0.4181352997E+02 i
  18.540       -0.1795418739E+02 +-0.4923663330E+02 i       -0.1765785980E+02 +-0.4573116684E+02 i
  18.720       -0.2059039307E+02 +-0.5469977951E+02 i       -0.1859352112E+02 +-0.4935906982E+02 i
